1630318672717,671,08/30/2021 3:47 PM,LDR/LDR1

1630318674705,48,08/30/2021 3:47 PM,LDR/LDR2

1630318676727,688,08/30/2021 3:47 PM,LDR/LDR3

1630318678777,572,08/30/2021 3:47 PM,LDR/LDR4

1630318680802,202,08/30/2021 3:48 PM,LDR/LDR5

1630318682776,11,08/30/2021 3:48 PM,LDR/LDR6

1630318684829,65,08/30/2021 3:48 PM,LDR/LDR1

1630318686866,82,08/30/2021 3:48 PM,LDR/LDR2

1630318688915,884,08/30/2021 3:48 PM,LDR/LDR3

1630318690779,254,08/30/2021 3:48 PM,LDR/LDR4

1630318692907,750,08/30/2021 3:48 PM,LDR/LDR5

1630318694855,323,08/30/2021 3:48 PM,LDR/LDR6

1630318696901,975,08/30/2021 3:48 PM,LDR/LDR1

1630318698948,5,08/30/2021 3:48 PM,LDR/LDR2

1630318700896,458,08/30/2021 3:48 PM,LDR/LDR3

1630318702840,430,08/30/2021 3:48 PM,LDR/LDR4

1630318704786,29,08/30/2021 3:48 PM,LDR/LDR5

1630318706834,50,08/30/2021 3:48 PM,LDR/LDR6

1630318708882,16,08/30/2021 3:48 PM,LDR/LDR1

1630318758260,152,08/30/2021 3:49 PM,LDR/LDR1

1630318760288,681,08/30/2021 3:49 PM,LDR/LDR2

1630318762335,906,08/30/2021 3:49 PM,LDR/LDR3

1630318764383,659,08/30/2021 3:49 PM,LDR/LDR4

1630318766328,165,08/30/2021 3:49 PM,LDR/LDR5

1630318768273,750,08/30/2021 3:49 PM,LDR/LDR6

1630318770323,586,08/30/2021 3:49 PM,LDR/LDR1

1630318772370,360,08/30/2021 3:49 PM,LDR/LDR2

1630318774314,412,08/30/2021 3:49 PM,LDR/LDR3

1630318776273,778,08/30/2021 3:49 PM,LDR/LDR4

1630318778413,280,08/30/2021 3:49 PM,LDR/LDR5

1630318780279,586,08/30/2021 3:49 PM,LDR/LDR6

1630318782405,267,08/30/2021 3:49 PM,LDR/LDR1

1630318784350,856,08/30/2021 3:49 PM,LDR/LDR2

1630318786398,475,08/30/2021 3:49 PM,LDR/LDR3

1630318788430,266,08/30/2021 3:49 PM,LDR/LDR4

1630318790394,191,08/30/2021 3:49 PM,LDR/LDR5

1630318792442,53,08/30/2021 3:49 PM,LDR/LDR6

1630318794386,611,08/30/2021 3:49 PM,LDR/LDR1

1630318796433,429,08/30/2021 3:49 PM,LDR/LDR2

1630318798379,430,08/30/2021 3:49 PM,LDR/LDR3

1630318800432,548,08/30/2021 3:50 PM,LDR/LDR4

1630318802373,267,08/30/2021 3:50 PM,LDR/LDR5

1630318804421,578,08/30/2021 3:50 PM,LDR/LDR6

1630318806482,877,08/30/2021 3:50 PM,LDR/LDR1

1630318808413,73,08/30/2021 3:50 PM,LDR/LDR2

1630318810462,777,08/30/2021 3:50 PM,LDR/LDR3

1630318812407,828,08/30/2021 3:50 PM,LDR/LDR4

1630318814353,437,08/30/2021 3:50 PM,LDR/LDR5

1630318816503,343,08/30/2021 3:50 PM,LDR/LDR6

1630318818451,986,08/30/2021 3:50 PM,LDR/LDR1

1630318820496,839,08/30/2021 3:50 PM,LDR/LDR2

1630318822394,161,08/30/2021 3:50 PM,LDR/LDR3

1630318824491,311,08/30/2021 3:50 PM,LDR/LDR4

1630318826430,584,08/30/2021 3:50 PM,LDR/LDR5

1630318828427,724,08/30/2021 3:50 PM,LDR/LDR6

1630318830431,863,08/30/2021 3:50 PM,LDR/LDR1

1630318832413,795,08/30/2021 3:50 PM,LDR/LDR2

1630318834425,146,08/30/2021 3:50 PM,LDR/LDR3

1630318836371,123,08/30/2021 3:50 PM,LDR/LDR4

1630318838416,685,08/30/2021 3:50 PM,LDR/LDR5

1630318840365,231,08/30/2021 3:50 PM,LDR/LDR6

1630318842411,539,08/30/2021 3:50 PM,LDR/LDR1

1630318844457,310,08/30/2021 3:50 PM,LDR/LDR2

1630318846371,646,08/30/2021 3:50 PM,LDR/LDR3
